full_address,lat_long
"1531 ESPLANADE, CHICO, CA 95926","(39.742159, -121.849862)"
"6TH AND THE ESPLANADE, CHICO, CA 95927","(39.805255, -121.684124)"
"2975 SYCAMORE DR, SIMI VALLEY, CA 93065","(34.289277, -118.744602)"
"2 UPPER RAGSDALE DR, MONTEREY, CA 93940","(36.578186, -121.816035)"
"1717 LAS VEGAS ST, MODESTO, CA 95358","(37.605717, -121.002863)"
"401 LESHER DR, MERCED, CA 95341","(37.293892, -120.504168)"
"3661 TORRANCE BLVD, TORRANCE, CA 90503","(33.837754, -118.351039)"
"3020 CHILDRENS WY, SAN DIEGO, CA 92123","(32.79849, -117.152153)"
"555 E VLY PKWY, ESCONDIDO, CA 92025","(33.126188, -117.075881)"
"50 ALESSANDRO PL, PASADENA, CA 91105","(34.130619, -118.151976)"
"1751 W ROMNEYA DR, ANAHEIM, CA 92801","(33.851388, -117.943933)"
"1619 N SPURGEON ST, SANTA ANA, CA 92701","(33.759123, -117.86505)"
"769 MEDICAL CTR, CHULA VISTA, CA 91911","(32.615983, -117.034012)"
"1220 HEMLOCK WY, SANTA ANA, CA 92707","(33.709678, -117.884423)"
"1310 W STEWART DR, ORANGE, CA 92868","(33.782234, -117.866586)"
"530 E WASHINGTON BLVD, LOS ANGELES, CA 90015","(34.028275, -118.259594)"
"1437 E PROSPERITY AVE, TULARE, CA 93274","(36.225681, -119.325972)"
"316 W ACEQUIA AVE, VISALIA, CA 93291","(36.329501, -119.295265)"
"3939 J ST, SACRAMENTO, CA 95819","(38.569589, -121.454028)"
"8120 TIMBERLAKE WY, SACRAMENTO, CA 95823","(38.463075, -121.414206)"
"1180 N INDIAN CYN DR, PALM SPRINGS, CA 92262","(33.823117, -116.545554)"
"4445 MAGNOLIA AVE, RIVERSIDE, CA 92501","(33.97637, -117.381407)"
"555 E TACHEVAH DR, PALM SPRINGS, CA 92262","(33.837228, -116.542402)"
"12660 RIVERSIDE DR, N HOLLYWOOD, CA 91607","(34.157451, -118.409382)"
"175 W LA VERNE AVE, POMONA, CA 91767","(34.086362, -117.752211)"
"16000 S VERMONT AVE, GARDENA, CA 90247","(33.885993, -118.291282)"
"930 SUNSET DR, HOLLISTER, CA 95023","(36.835302, -121.385732)"
"1 HOAG DR, NEWPORT BEACH, CA 92663","(33.625586, -117.930663)"
"1001 N TUSTIN AVE, SANTA ANA, CA 92705","(33.752669, -117.8342)"
"101 THE CITY DR SOUTH, ORANGE, CA 92868","(33.789072, -117.890821)"
"14662 NEWPORT AVE, TUSTIN, CA 92780","(33.731009, -117.82903)"
"27700 MEDICAL CTR RD, ORANGE, CA 92868","(33.788145, -117.87655)"
"3305 W ORANGE AVE, ANAHEIM, CA 92804","(33.824769, -118.005291)"
"393 S TUSTIN ST, ORANGE, CA 92866","(33.783304, -117.835581)"
"9080 COLIMA RD, WHITTIER, CA 90605","(33.950381, -118.004619)"
"1230 JEFFERSON ST, DELANO, CA 93215","(35.772316, -119.244845)"
"4040 SAN DIMAS ST, BAKERSFIELD, CA 93301","(35.396688, -119.007846)"
"24411 HEALTH CTR DR, LAGUNA HILLS, CA 92653","(33.595714, -117.715535)"
"31852 S CST HWY, LAGUNA HILLS, CA 92651","(33.500334, -117.742677)"
"420 34TH ST, BAKERSFIELD, CA 93301","(35.39238, -119.006865)"
"1101 S MILLIKEN AVE, ONTARIO, CA 91761","(34.052003, -117.558223)"
"1221 N DUTTON AVE, SANTA ROSA, CA 95401","(38.44663, -122.732356)"
"2 CONNECTICUT ST, SAN FRANCISCO, CA 94107","(37.766014, -122.398085)"
"2555 S EAST AVE, FRESNO, CA 93706","(36.709118, -119.772319)"
"2587 MERCED ST, SAN LEANDRO, CA 94577","(37.704178, -122.16853)"
"26 CALIFORNIA ST, SAN FRANCISCO, CA 94111","(37.793896, -122.396969)"
"2970 HILLTOP MALL RD, RICHMOND, CA 94806","(37.977082, -122.329091)"
"384 EMBARCADERO W, OAKLAND, CA 94607","(37.794973, -122.275196)"
"509 S I ST, MADERA, CA 93637","(36.954507, -120.058654)"
"6174 STATE FARM DR, ROHNERT PARK, CA 94928","(38.350129, -122.705577)"
"7265 N 1ST ST, FRESNO, CA 93720","(36.842459, -119.776707)"
"728 20TH ST, SAN FRANCISCO, CA 94107","(37.760681, -122.389199)"
"740 NORDAHL RD, SAN MARCOS, CA 92069","(33.134242, -117.119944)"
"1700 E CESAR E CHAVEZ AVE, LOS ANGELES, CA 90033","(34.050929, -118.217532)"
"225 W BROADWAY, GLENDALE, CA 91204","(34.147115, -118.257106)"
"17909 SOLEDAD CYN RD, CANYON COUNTRY, CA 91387","(34.423602, -118.495244)"
"555 WASHINGTON ST, SAN DIEGO, CA 92103","(32.74936, -117.159933)"
"2615 CHESTER AVE, BAKERSFIELD, CA 93301","(35.383209, -119.020538)"
"678 3RD AVE, CHULA VISTA, CA 91911","(32.628153, -117.075056)"
"325 E LA HABRA BLVD, LA HABRA, CA 90631","(33.93201, -117.94318)"
"1359 PINE ST, SAN FRANCISCO, CA 94109","(37.78962, -122.418287)"
"250 BON AIR RD, GREENBRAE, CA 94904","(37.947337, -122.535905)"
"480 4TH AVE, CHULA VISTA, CA 91910","(32.633816, -117.081703)"
"15004 INNOVATION DR, SAN DIEGO, CA 92128","(32.989246, -117.077708)"
"9894 GENESEE AVE, LA JOLLA, CA 92037","(32.884406, -117.224668)"
"3291 WALNUT BLVD, BRENTWOOD, CA 94513","(37.92155, -121.696783)"
"1617 N CALIFORNIA ST, STOCKTON, CA 95204","(37.969395, -121.289026)"
"133 N PRAIRIE AVE, INGLEWOOD, CA 90301","(33.963946, -118.344218)"
"1355 E ST, REDDING, CA 96001","(41.953768, -121.477961)"
"2175 ROSALINE AVE, REDDING, CA 96001","(40.572433, -122.396033)"
"100 W CALIFORNIA BLVD, PASADENA, CA 91105","(34.133709, -118.152697)"
"1236 N MAGNOLIA AVE, ANAHEIM, CA 92801","(33.850894, -117.97546)"
"13193 CENTRAL AVE, CHINO, CA 91710","(34.014076, -117.688958)"
"1400 E CHURCH ST, SANTA MARIA, CA 93454","(34.952214, -120.412157)"
"2425 SAMARITAN DR, SAN JOSE, CA 95124","(37.251694, -121.946486)"
"4600 PANAMA LN, BAKERSFIELD, CA 93313","(35.29625, -119.054436)"
"4600 PANAMA LN, BAKERSFIELD, CA 93313","(35.29625, -119.054436)"
"1798 N GAREY AVE, POMONA, CA 91767","(34.077092, -117.750628)"
"27700 MEDICAL CTR RD, MISSION VIEJO, CA 92691","(33.605527, -117.667923)"
"3865 JACKSON ST, RIVERSIDE, CA 92503","(33.927146, -117.439082)"
"800 S MAIN ST, CORONA, CA 92882","(33.873045, -117.56842)"
"420 W ROWLAND ST, COVINA, CA 91723","(34.078517, -117.896296)"
"4300 ROSE DR, YORBA LINDA, CA 92886","(33.899389, -117.84205)"
"45 NEILSON ST, WATSONVILLE, CA 95076","(36.928481, -121.790951)"
"45 NIELSON ST, WATSONVILLE, CA 95076","(36.928481, -121.790951)"
"847 W CHILDS AVE, MERCED, CA 95341","(37.28805, -120.49804)"
"2755 LOMA VISTA RD, VENTURA, CA 93003","(34.275324, -119.259225)"
"18370 BURBANK BLVD, TARZANA, CA 91356","(34.171589, -118.533376)"
"2315 OTAY LAKES RD, CHULA VISTA, CA 91915","(32.648795, -116.964834)"
"4085 GOVERNOR DR, SAN DIEGO, CA 92122","(32.854349, -117.202206)"
"6136 LAKE MURRAY BLVD, LA MESA, CA 91942","(32.790855, -117.020836)"
"1225 WILSHIRE BLVD, LOS ANGELES, CA 90017","(34.053323, -118.265145)"
"2 UPPER RAGSDALE DR, MONTEREY, CA 93940","(36.578186, -121.816035)"
"380 STEVENS AVE, SOLANA BEACH, CA 92075","(32.992927, -117.261151)"
"1560 E CHEVY CHASE DR, GLENDALE, CA 91206","(34.152697, -118.230492)"
"801 S CHEVY CHASE DR, GLENDALE, CA 91205","(34.136583, -118.240269)"
"1220 ROSSMOOR PKWY, WALNUT CREEK, CA 94595","(37.877688, -122.069654)"
"2255 YGNACIO VLY RD, WALNUT CREEK, CA 94598","(37.909204, -122.050889)"
"14901 RINALDI ST, MISSION HILLS, CA 91345","(34.279195, -118.45781)"
"1140 W LA VETA AVE, ORANGE, CA 92868","(33.780172, -117.865119)"
"12826 E PHILADELPHIA ST, WHITTIER, CA 90601","(33.978564, -118.038921)"
"2615 EYE ST, BAKERSFIELD, CA 93301","(35.382909, -119.020141)"
"9300 N LOOP BLVD, CALIFORNIA CITY, CA 93505","(35.133066, -117.963356)"
"18111 BROOKHURST ST, FOUNTAIN VALLEY, CA 92708","(33.699453, -117.95434)"
"3400 W BALL RD, ANAHEIM, CA 92804","(33.816861, -118.008299)"
"23672 BIRTCHER DR, LAKE FOREST, CA 92630","(33.633507, -117.717004)"
"665 CAMINO  LOS MARES, SAN CLEMENTE, CA 92673","(33.459745, -117.625076)"
"140 N ORANGE AVE, WEST COVINA, CA 91790","(34.073207, -117.942972)"
"1500 W WEST COVINA, WEST COVINA, CA 91790","(34.069012, -117.93953)"
"1520 W KETTIEMAN LN, LODI, CA 95242","(38.138318, -121.422011)"
"1520 W KETTLEMAN LN, LODI, CA 95242","(38.115229, -121.293238)"
"768 MOUNTAIN RANCH RD, SAN ANDREAS, CA 95249","(38.189775, -120.671547)"
"116 E WALKER ST, ORLAND, CA 95963","(39.747161, -122.184922)"
"116 E WALKER ST, OAKLAND, CA 95963","(39.747161, -122.184922)"
"2141 N HARBOR BLVD, FULLERTON, CA 92835","(33.894301, -117.92869)"
"1901 OUTLET CTR DR, OXNARD, CA 93036","(34.236999, -119.184377)"
"1377 S GRAND AVE, GLENDORA, CA 91740","(34.114321, -117.87269)"
"2560 BRYAN AVE, TUSTIN, CA 92782","(33.72811, -117.793652)"
"3544 30TH ST, SAN DIEGO, CA 92104","(32.742855, -117.130353)"
"12462 BROOKHURST ST, GARDEN GROVE, CA 92840","(33.780931, -117.958398)"
"12665 GARDEN GROVE, GARDEN GROVE, CA 92843","(33.79738, -117.95624)"
"797 W CHILDS AVE, MERCED, CA 95341","(37.288363, -120.495146)"
"8010 FROST ST, SAN DIEGO, CA 92123","(32.801488, -117.151889)"
"8077 FLORENCE AVE, DOWNEY, CA 90240","(33.952713, -118.127544)"
"911 E PLZ BLVD, NATIONAL CITY, CA 91950","(32.677267, -117.096875)"
"911 E PLZ BLVD, NATIONAL CITY, CA 91950","(32.677267, -117.096875)"
"8970 WARNER AVE, FOUNTAIN VALLEY, CA 92708","(33.71633, -117.95461)"
"8970 WARNER AVE, FOUNTAIN VALLEY, CA 92708","(33.71633, -117.95461)"
"9898 GENESEE AVE, LA JOLLA, CA 92037","(32.883991, -117.224292)"
"5400 TELEGRAPH AVE, OAKLAND, CA 94609","(37.839198, -122.261341)"
"747 52ND ST, OAKLAND, CA 94609","(37.836859, -122.267058)"
"690 GUZZI LN, SONORA, CA 95370","(37.96091, -120.343863)"
"3807 UNION AVE, BAKERSFIELD, CA 93305","(35.394072, -119.003296)"
"3838 SAN DIMAS ST, BAKERSFIELD, CA 93301","(35.394348, -119.007725)"
"12820 STUDEBAKER RD, NORWALK, CA 90650","(33.914182, -118.098882)"
"1045 W REDONDO BEACH, GARDENA, CA 90247","(33.893011, -118.292905)"
"3440 LOMITA BLVD, TORRANCE, CA 90505","(33.812756, -118.345379)"
"1145 W REDONDO BEACH BLVD, GARDENA, CA 90247","(33.893071, -118.29506)"
"13100 STUDEBAKER RD, NORWALK, CA 90650","(33.912552, -118.098456)"
"38600 MEDICAL CTR DR, PALMDALE, CA 93551","(34.60411, -118.239005)"
"820 E MOUNTAIN VIEW ST, BARSTOW, CA 92311","(34.893568, -117.016481)"
"4100 E COMMERCE WY, SACRAMENTO, CA 95834","(38.639388, -121.519954)"
"4100 E COMMERCE WY, SACRAMENTO, CA 95834","(38.639388, -121.519954)"
"7237 E SOUTHGATE DR, SACRAMENTO, CA 95823","(38.494658, -121.437132)"
"12370 HESPERIA RD, VICTORVILLE, CA 92395","(34.476333, -117.291465)"
"1523 W AVENUE J, LANCASTER, CA 93534","(34.675012, -118.157394)"
"400 W MINERAL KING AVE, VISALIA, CA 93291","(36.327602, -119.28891)"
"5400 W HILLSDALE AVE, VISALIA, CA 93291","(36.330319, -119.351745)"
"2342 PROFESSIONAL, SANTA MARIA, CA 93455","(34.9164, -120.438342)"
"26520 CACTUS AVE, MORENO VALLEY, CA 92555","(33.912016, -117.195868)"
"79430 HWY 111, LA QUINTA, CA 92253","(33.709092, -116.278726)"
"675 S ARROYO PKWY, PASADENA, CA 91105","(34.133888, -118.147766)"
"333 LAWS AVE, UKIAH, CA 95482","(39.128353, -123.211091)"
"45 HAZEL ST, WILLITS, CA 95490","(39.399644, -123.351671)"
"5335 LAKESHORE BLVD, LAKEPORT, CA 95453","(39.105699, -122.903229)"
"431 S BATAVIA ST, ORANGE, CA 92868","(33.782446, -117.861812)"
"1 SHRADER ST, SAN FRANCISCO, CA 94117","(37.774821, -122.453003)"
"2235 HAYES ST, SAN FRANCISCO, CA 94117","(37.772785, -122.452914)"
"1250 E ALMOND AVE, MADERA, CA 93637","(36.944804, -120.04368)"
"6501 COYLE AVE, CARMICHAEL, CA 95608","(38.668146, -121.314631)"
"4100 CENTRAL AVE, RIVERSIDE, CA 92506","(33.953223, -117.397374)"
"6226 E SPRING ST, LONG BEACH, CA 90815","(33.810344, -118.111518)"
"1045 ATLANTIC AVE, LONG BEACH, CA 90813","(33.780235, -118.185393)"
"3801 KATELLA AVE, LOS ALAMITOS, CA 90720","(33.803329, -118.0666)"
"3801 KATELLA AVE, LOS ALAMITOS, CA 90720","(33.803329, -118.0666)"
"751 W LEGION RD, BRAWLEY, CA 92227","(32.960082, -115.554984)"
"751 W LEGION RD, BRAWLEY, CA 92227","(32.960082, -115.554984)"
"4525 E CESAR E CHAVEZ AVE, LOS ANGELES, CA 90022","(34.040737, -118.168399)"
"120 N ASHWOOD AVE, VENTURA, CA 93003","(34.276439, -119.239015)"
"138 W MAIN ST, VENTURA, CA 93001","(34.281127, -119.302697)"
"2361 E VINEYARD AVE, OXNARD, CA 93036","(34.22899, -119.176075)"
"2921 SAVIERS RD, OXNARD, CA 93033","(34.172788, -119.178105)"
"3641 W 5TH ST, OXNARD, CA 93030","(34.198243, -119.219324)"
"422 ARNEILL RD, CAMARILLO, CA 93010","(34.221542, -119.038278)"
"655 VENTURA AVE, OAK VIEW, CA 93022","(34.396531, -119.300002)"
"852 W VENTURA ST, FILLMORE, CA 93015","(34.395158, -118.921997)"
"6311 N FRESNO ST, FRESNO, CA 93710","(36.828675, -119.78198)"
"2485 HIGH SCHOOL AVE, CONCORD, CA 94520","(37.985369, -122.034208)"
"6991 N STATE ST, REDWOOD VALLEY, CA 95470","(39.243023, -123.206436)"
"2211 PARK TOWNE CIR, SACRAMENTO, CA 95825","(38.606454, -121.384058)"
"1645 ESPLANADE, CHICO, CA 95926","(39.743523, -121.850326)"
"116 W LIME AVE, MONROVIA, CA 91016","(34.147913, -118.001305)"
"18300 US HWY 18, APPLE VALLEY, CA 92307","(34.541885, -117.265559)"
"450 STANYAN ST, SAN FRANCISCO, CA 94117","(37.774059, -122.454188)"
"15341 CENTRAL AVE, CHINO, CA 91710","(33.975621, -117.688323)"
"4770 W HERNDON AVE, FRESNO, CA 93722","(36.837593, -119.878156)"
"7355 N PALM AVE, FRESNO, CA 93711","(36.843648, -119.80891)"
"254 W HARVARD BLVD, SANTA PAULA, CA 93060","(34.346945, -119.067851)"
"3291 LOMA VISTA RD, VENTURA, CA 93003","(34.276636, -119.251932)"
"2191 MOWRY AVE, FREMONT, CA 94538","(37.557624, -121.982434)"
"1600 S IMPERIAL AVE, EL CENTRO, CA 92243","(32.778549, -115.569591)"
"785 18TH ST, ARCATA, CA 95521","(40.875992, -124.083832)"
"1165 MONTGOMERY DR, SANTA ROSA, CA 95405","(38.443799, -122.70136)"
"655 EUCLID AVE, NATIONAL CITY, CA 91950","(32.684031, -117.082733)"
"4101 TORRANCE BLVD, TORRANCE, CA 90503","(33.83821, -118.356809)"
"2212 E 4TH ST, SANTA ANA, CA 92705","(33.748103, -117.835197)"
"795 WILLOW RD, MENLO PARK, CA 94025","(37.463673, -122.158115)"
"7565 MISSION VLY RD, SAN DIEGO, CA 92108","(32.778994, -117.158845)"
"3409 CALLOWAY DR, BAKERSFIELD, CA 93312","(35.391484, -119.110469)"
"3409 CALLOWAY DR, BAKERSFIELD, CA 93312","(35.391484, -119.110469)"
"1149 7TH ST, WASCO, CA 93280","(35.594123, -119.338607)"
"801 SANTA FE WY, SHAFTER, CA 93263","(35.463196, -119.225632)"
"901 OLIVE DR, BAKERSFIELD, CA 93308","(35.411727, -119.039745)"
"1209 ESPLANADE, CHICO, CA 95926","(39.738825, -121.847103)"
"432 E KING AVE, TULARE, CA 93274","(36.209999, -119.342965)"
"450 E HUNTINGTON DR, ARCADIA, CA 91006","(34.139983, -118.024746)"
"12143 NAVAJO RD, APPLE VALLEY, CA 92308","(34.47239, -117.189714)"
"15626 HESPERIA RD, VICTORVILLE, CA 92395","(34.534666, -117.291891)"
"15791 BEAR VLY RD, HESPERIA, CA 92345","(34.214644, -117.075645)"
"716 E MAIN ST, BARSTOW, CA 92311","(34.898302, -117.018717)"
"275 W HERNDON AVE, CLOVIS, CA 93612","(36.838294, -119.71535)"
"1441 FLORIDA AVE, MODESTO, CA 95350","(37.665667, -120.996216)"
"181 ANDRIEUX ST, SONOMA, CA 95476","(38.287853, -122.461201)"
"1508 GARCES HWY, DELANO, CA 93215","(35.761265, -119.237013)"
"1508 GARCES HWY, DELANO, CA 93215","(35.761265, -119.237013)"
"217 W KERN AVE, MC FARLAND, CA 93250","(35.677879, -119.230571)"
"2067 W VISTA WY, VISTA, CA 92083","(33.184417, -117.288265)"
"1057 E GRAND AVE, ARROYO GRANDE, CA 93420","(35.119007, -120.595266)"
"150 TEJAS PL, NIPOMO, CA 93444","(35.027034, -120.498354)"
"2801 SANTA MARIA WY, SANTA MARIA, CA 93455","(34.90926, -120.433654)"
"336 S HALCYON RD, ARROYO GRANDE, CA 93420","(35.113854, -120.592319)"
"1006 E BASTANCHURY RD, FULLERTON, CA 92835","(33.888784, -117.942615)"
"2115 N TUSTIN ST, ORANGE, CA 92865","(33.822777, -117.835853)"
"520 W PALMDALE BLVD, PALMDALE, CA 93551","(34.58376, -118.140271)"
"9508 STOCKDALE HWY, BAKERSFIELD, CA 93311","(35.35494, -119.108502)"
"9900 STOCKDALE HWY, BAKERSFIELD, CA 93311","(35.354735, -119.11271)"
"8816 FOOTHILL BLVD, RANCHO CUCAMONGA, CA 91730","(34.107641, -117.612991)"
"914 W FOOTHILL BLVD, UPLAND, CA 91786","(34.106547, -117.663597)"
"999 SAN BERNARDINO RD, UPLAND, CA 91786","(34.101015, -117.638542)"
"3565 DEL AMO BLVD, TORRANCE, CA 90503","(33.849299, -118.349033)"
"1399 YGNACIO VLY RD, WALNUT CREEK, CA 94598","(37.909204, -122.050889)"
"11370 ANDERSON ST, LOMA LINDA, CA 92354","(34.047422, -117.2623)"
"170 SANTA CLARA AVE, OAKLAND, CA 94610","(37.818782, -122.252453)"
"450 N WIGET LN, WALNUT CREEK, CA 94598","(37.918785, -122.021102)"
"23101 SHERMAN PL, WEST HILLS, CA 91307","(34.201151, -118.630061)"
"302 N TUSTIN AVE, SANTA ANA, CA 92705","(33.74826, -117.83399)"
"245 TERRACINA BLVD, REDLANDS, CA 92373","(34.039125, -117.205743)"
"1111 N CHINA LAKE BLVD, RIDGECREST, CA 93555","(35.640535, -117.670018)"
"1401 S GRAND AVE, LOS ANGELES, CA 90015","(34.037202, -118.265621)"
"2176 SALK AVE, CARLSBAD, CA 92008","(33.140251, -117.277954)"
"2176 SALK AVE, CARLSBAD, CA 92008","(33.140251, -117.277954)"
"4318 MISSION AVE, OCEANSIDE, CA 92057","(33.230097, -117.311007)"
"4318 MISSION AVE, OCEANSIDE, CA 92057","(33.230097, -117.311007)"
"1501 TROUSDALE DR, BURLINGAME, CA 94010","(37.594688, -122.383186)"
"3555 CESAR CHAVEZ, SAN FRANCISCO, CA 94110","(37.747835, -122.42086)"
"3700 CALIFORNIA ST, SAN FRANCISCO, CA 94118","(37.786574, -122.455772)"
"1121 F ST, REEDLEY, CA 93654","(36.596598, -119.449738)"
"26516 CRENSHAW BLVD, PALOS VERDES PENIN, CA 90274","(33.782328, -118.352218)"
"1289 BILLE RD, PARADISE, CA 95969","(39.771026, -121.598542)"
"3945 WHITTIER BLVD, LOS ANGELES, CA 90023","(34.024116, -118.187727)"
"2655 W OLYMPIC BLVD, LOS ANGELES, CA 90006","(34.052567, -118.289719)"
"2438 N PONDEROSA DR, CAMARILLO, CA 93010","(34.242272, -119.021547)"
"4077 5TH AVE, SAN DIEGO, CA 92103","(32.751388, -117.161096)"
"501 WASHINGTON ST, SAN DIEGO, CA 92103","(32.74936, -117.159933)"
"5565 W LAS POSITAS, PLEASANTON, CA 94588","(37.692987, -121.88014)"
"100 PARK PLACE, SAN RAMON, CA 94583","(37.772711, -121.989584)"
"81 HIGHLAND SPG AVE, BEAUMONT, CA 92223","(33.919325, -116.947862)"
"3301 CLAYTON RD, CONCORD, CA 94519","(37.97262, -122.01762)"
"1025 E OCEAN AVE, LOMPOC, CA 93436","(34.639278, -120.469839)"
"1515 N SUNRISE WY, PALM SPRINGS, CA 92262","(33.843357, -116.528665)"
"7140 INDIANA AVE, RIVERSIDE, CA 92504","(33.938397, -117.397363)"
"101 HOSPITAL RD, SONORA, CA 95370","(37.974381, -120.377362)"
"690 GUZZI LN, SONORA, CA 95370","(37.96091, -120.343863)"
"6283 CLARK RD, PARADISE, CA 95969","(39.767851, -121.600871)"
"1600 MARKET ST, SAN FRANCISCO, CA 94102","(37.774131, -122.420928)"
"199 W PORTAL AVE, SAN FRANCISCO, CA 94127","(37.738726, -122.467702)"
"2395 LOMBARD ST, SAN FRANCISCO, CA 94123","(37.799027, -122.440628)"
"750 REDWOOD HWY, MILL VALLEY, CA 94941","(37.899416, -122.515691)"
"21311 MADRONA AVE, TORRANCE, CA 90503","(33.835583, -118.346247)"
"21311 MADRONA AVE, TORRANCE, CA 90503","(33.835583, -118.346247)"
"9908 BRIMHALL RD, BAKERSFIELD, CA 93312","(35.369793, -119.112491)"
"9908 BRIMHALL RD, BAKERSFIELD, CA 93312","(35.369793, -119.112491)"
"3309 RENNER DR, FORTUNA, CA 95540","(40.582435, -124.135435)"
"930 DEWING AVE, LAFAYETTE, CA 94549","(37.888746, -122.122648)"
"955 W IMPERIAL HWY, BREA, CA 92821","(33.912601, -117.89048)"
"1945 GARNET AVE, SAN DIEGO, CA 92109","(32.801032, -117.234046)"
"10862 CALLE VERDE, LA MESA, CA 91941","(32.74902, -116.960039)"
"5253 RIVERSIDE DR, CHINO, CA 91710","(34.018886, -117.690366)"
"1125 SIR FRANCIS DRAKE, KENTFIELD, CA 94904","(37.958731, -122.552414)"
"4323 W RIVERSIDE DR, BURBANK, CA 91505","(34.152536, -118.347409)"
"465 MARCH AVE, HEALDSBURG, CA 95448","(38.626217, -122.863985)"
"2220 E GONZALES RD, OXNARD, CA 93036","(34.217982, -119.14781)"
"20911 EARL ST, TORRANCE, CA 90503","(33.840236, -118.358276)"
"2101 FOREST AVE, SAN JOSE, CA 95128","(37.326905, -121.937112)"
"140 BROOKWOOD RD, ORINDA, CA 94563","(37.877135, -122.181356)"
"599 SIR FRANCIS DRAK, GREENBRAE, CA 94904","(37.95004, -122.533383)"
"826 PINE ST, MOUNT SHASTA, CA 96067","(41.317315, -122.320537)"
"5189 HOSPITAL RD, MARIPOSA, CA 95338","(37.503851, -119.977276)"
"1010 N SEPULVEDA BLVD, MANHATTAN BEACH, CA 90266","(33.886199, -118.395747)"
"1499 W 1ST ST, SAN PEDRO, CA 90732","(33.743202, -118.309127)"
"2382 CRENSHAW BLVD, TORRANCE, CA 90501","(33.822631, -118.327723)"
"10737 CAMINO RUIZ, SAN DIEGO, CA 92126","(32.913969, -117.142771)"
"12900 FREDERICK ST, MORENO VALLEY, CA 92553","(33.933255, -117.261398)"
"1295 BROADWAY, CHULA VISTA, CA 91911","(32.603585, -117.078586)"
"1333 CAMINO DEL RIO S, SAN DIEGO, CA 92108","(32.764887, -117.151955)"
"1602 THOMAS AVE, SAN DIEGO, CA 92109","(32.797091, -117.239758)"
"1685 E MAIN ST, EL CAJON, CA 92021","(32.811167, -116.91871)"
"1820 MARRON RD, CARLSBAD, CA 92008","(33.178058, -117.340318)"
"2017 1ST AVE, SAN DIEGO, CA 92101","(32.72631, -117.163752)"
"2017 1ST AVE, SAN DIEGO, CA 92101","(32.72631, -117.163752)"
"220 EUCLID AVE, SAN DIEGO, CA 92114","(32.706351, -117.085718)"
"347 W MISSION AVE, ESCONDIDO, CA 92025","(33.1288, -117.089846)"
"3772 TIBBETTS ST, RIVERSIDE, CA 92506","(33.947124, -117.399155)"
"4305 UNIVERSITY AVE, SAN DIEGO, CA 92105","(32.749171, -117.101431)"
"4501 MISSION BAY DR, SAN DIEGO, CA 92109","(32.803391, -117.216323)"
"4575 COLLEGE AVE, SAN DIEGO, CA 92115","(32.760328, -117.06659)"
"49 111 HWY 111, COACHELLA, CA 92236","(33.671433, -116.16639)"
"71777 SAN JACINTO DR, RANCHO MIRAGE, CA 92270","(33.743751, -116.41275)"
"7526 CLAIREMONT MESA BLVD, SAN DIEGO, CA 92111","(32.833364, -117.157192)"
"765 MEDICAL CTR, CHULA VISTA, CA 91911","(32.615983, -117.034012)"
"100 OCEANGATE, LONG BEACH, CA 90802","(33.766589, -118.19879)"
"150 S PICO AVE, LONG BEACH, CA 90802","(33.765857, -118.206878)"
"16702 VLY VIEW AVE, LA MIRADA, CA 90638","(33.879275, -118.027599)"
"1717 E LINCOLN AVE, ANAHEIM, CA 92805","(33.840571, -117.892963)"
"5345 IRWINDALE AVE, IRWINDALE, CA 91706","(34.110175, -117.934157)"
"7052 ORANGEWOOD AVE, GARDEN GROVE, CA 92841","(33.795638, -117.971374)"
"85 SIERRA PARK RD, MAMMOTH LAKES, CA 93546","(37.64366, -118.96395)"
"520 N PROSPECT AVE, REDONDO BEACH, CA 90277","(33.852091, -118.378823)"
"2147 MOURY AVE, FREMONT, CA 94538","(37.557737, -121.98158)"
"2147 MOWRY AVE, FREMONT, CA 94538","(37.557737, -121.98158)"
"1970 S PROSPECT AVE, REDONDO BEACH, CA 90277","(33.816567, -118.376475)"
"2502 JENSEN AVE, SANGER, CA 93657","(36.707253, -119.572144)"
"1235 OSOS ST, SAN LUIS OBISPO, CA 93401","(35.279724, -120.659804)"
"1320 LAS TABLAS RD, TEMPLETON, CA 93465","(35.555723, -120.722542)"
"1100 LAS TABLAS RD, TEMPLETON, CA 93465","(35.55532, -120.719658)"
"4010 SORRENTO VLY, SAN DIEGO, CA 92121","(32.904363, -117.219448)"
"4010 SORRENTO VLY, SAN DIEGO, CA 92121","(32.904363, -117.219448)"
"6699 ALVARADO RD, SAN DIEGO, CA 92120","(32.776204, -117.054237)"
"6699 ALVARADO RD, SAN DIEGO, CA 92120","(32.776204, -117.054237)"
"1600 W AVE, LANCASTER, CA 93534","(34.762586, -118.162185)"
"1711 W TEMPLE ST, LOS ANGELES, CA 90026","(34.0689, -118.263368)"
"1800 SULLIVAN AVE, DALY CITY, CA 94015","(37.683607, -122.472241)"
"323 S LEXINGTON ST, DELANO, CA 93215","(35.754319, -119.240922)"
"565 KERN ST, SHAFTER, CA 93263","(35.504292, -119.271897)"
"9610 STOCKDALE HWY, BAKERSFIELD, CA 93311","(35.355051, -119.109679)"
"1920 TIENDA DR, LODI, CA 95242","(38.116728, -121.296205)"
"1310 W STEWART DR, ORANGE, CA 92868","(33.782234, -117.866586)"
