"id","lat","lng","population","county","service_area_id","zip_code"
2624239,31.349469159887267,-91.42571997334102,10.008367538452148,"Adams County","ms_adams_county_00000","00000"
2624240,31.385971469105943,-91.43130773844294,34.71010971069336,"Adams County","ms_adams_county_00000","00000"
2624241,31.368793244603598,-91.4209065949628,30.734357833862305,"Adams County","ms_adams_county_00000","00000"
2624242,31.405298390744154,-91.44577147419518,7.381919860839844,"Adams County","ms_adams_county_00000","00000"
2624243,31.255017423727608,-91.6078771492393,0.9881169199943542,"Adams County","ms_adams_county_00000","00000"
2624244,31.510549159223153,-91.41336421811886,658.39892578125,"Adams County","ms_adams_county_00000","00000"
2624245,31.45254831070684,-91.41664687391186,206.5941619873047,"Adams County","ms_adams_county_00000","00000"
2624246,31.544926448008432,-91.40676124007665,2243.739990234375,"Adams County","ms_adams_county_00000","00000"
2624247,31.480472949718887,-91.37304782593816,270.95684814453125,"Adams County","ms_adams_county_00000","00000"
2624248,31.49336230635626,-91.41942785941039,566.2566528320312,"Adams County","ms_adams_county_00000","00000"
2624249,31.45684420424078,-91.37246142985764,353.2976989746094,"Adams County","ms_adams_county_00000","00000"
2624250,31.390266210688168,-91.41189830104712,156.74029541015625,"Adams County","ms_adams_county_00000","00000"
2624251,31.35805745672368,-91.39515482433058,35.508567810058594,"Adams County","ms_adams_county_00000","00000"
2624252,31.52988579598893,-91.42789201616493,260.51171875,"Adams County","ms_adams_county_00000","00000"
2624253,31.40959346639776,-91.393340904836,99.4779281616211,"Adams County","ms_adams_county_00000","00000"
2624254,31.45254831070684,-91.39462664455861,221.17127990722656,"Adams County","ms_adams_county_00000","00000"
2624255,31.471880417934592,-91.41737975275703,204.7998046875,"Adams County","ms_adams_county_00000","00000"
2624256,31.443956746904576,-91.43620215691882,33.5850715637207,"Adams County","ms_adams_county_00000","00000"
2624257,31.43536548069099,-91.38144707959852,71.29405975341797,"Adams County","ms_adams_county_00000","00000"
2624258,31.390266210688168,-91.3898871685047,151.85958862304688,"Adams County","ms_adams_county_00000","00000"
2624259,31.43106995914294,-91.40361095805089,62.11650085449219,"Adams County","ms_adams_county_00000","00000"
2624260,31.40959346639776,-91.42361008970487,23.298885345458984,"Adams County","ms_adams_county_00000","00000"
2629576,31.56426577469378,-91.36621501423572,2325.493408203125,"Adams County","ms_adams_county_00000","00000"
2629577,31.559968015666545,-91.38838583749265,2930.7080078125,"Adams County","ms_adams_county_00000","00000"
2629578,31.568563608534,-91.33302471462666,1383.268310546875,"Adams County","ms_adams_county_00000","00000"
2629579,31.58575569232237,-91.31044751501275,369.72747802734375,"Adams County","ms_adams_county_00000","00000"
2629580,31.58790478702474,-91.33655308860257,1408.5863037109375,"Adams County","ms_adams_county_00000","00000"
2629581,31.59865054142963,-91.36515103159124,1026.0616455078125,"Adams County","ms_adams_county_00000","00000"
2629582,31.65453601900936,-91.38001551774221,149.647216796875,"Adams County","ms_adams_county_00000","00000"
2629583,31.60509821885412,-91.33877884374053,589.5636596679688,"Adams County","ms_adams_county_00000","00000"
2629584,31.656685713795575,-91.3372304774108,109.64812469482422,"Adams County","ms_adams_county_00000","00000"
2629585,31.58790478702474,-91.38338828021453,695.3406372070312,"Adams County","ms_adams_county_00000","00000"
2629586,31.60509821885412,-91.2946935999537,58.7919807434082,"Adams County","ms_adams_county_00000","00000"
2629587,31.628741146001143,-91.3477070069497,47.70314407348633,"Adams County","ms_adams_county_00000","00000"
2629588,31.613695384436262,-91.26136306688737,136.0894317626953,"Adams County","ms_adams_county_00000","00000"
2629589,31.656685713795575,-91.30691141082792,133.2274627685547,"Adams County","ms_adams_county_00000","00000"
2629590,31.719035040969572,-91.31200036083214,7.265163421630859,"Adams County","ms_adams_county_00000","00000"
2629591,31.7104341929198,-91.34257372590736,4.125807285308838,"Adams County","ms_adams_county_00000","00000"
2629592,31.65023668577968,-91.28091951317538,136.50119018554688,"Adams County","ms_adams_county_00000","00000"
2629593,31.626591695229372,-91.29954637291674,156.26895141601562,"Adams County","ms_adams_county_00000","00000"
2629594,31.633040103823994,-91.32828735534622,110.72052764892578,"Adams County","ms_adams_county_00000","00000"
2629595,31.633040103823994,-91.28143803151497,178.95921325683594,"Adams County","ms_adams_county_00000","00000"
2629596,31.669584277029962,-91.28723532592387,48.013328552246094,"Adams County","ms_adams_county_00000","00000"
2629597,31.609396764160472,-91.39926650687417,9.91592025756836,"Adams County","ms_adams_county_00000","00000"
2629598,31.568563608534,-91.3936271372867,1542.0076904296875,"Adams County","ms_adams_county_00000","00000"
2629602,31.6179940796964,-91.23918585948005,137.0679168701172,"Adams County","ms_adams_county_00000","00000"
2629603,31.568563608534,-91.2338571139102,42.03642272949219,"Adams County","ms_adams_county_00000","00000"
2629604,31.56426577469378,-91.30285975291802,254.96104431152344,"Adams County","ms_adams_county_00000","00000"
2629605,31.56426577469378,-91.28082314028579,193.5655975341797,"Adams County","ms_adams_county_00000","00000"
2629606,31.59650135309004,-91.26740824536822,83.71332550048828,"Adams County","ms_adams_county_00000","00000"
2629607,31.613695384436262,-91.21451980365894,81.14746856689453,"Adams County","ms_adams_county_00000","00000"
2629608,31.583606616341886,-91.28434279506116,124.97987365722656,"Adams County","ms_adams_county_00000","00000"
2629609,31.56426577469378,-91.18441296001976,0.23173871636390686,"Adams County","ms_adams_county_00000","00000"
2629610,31.555670331437383,-91.22050092105177,1442.998779296875,"Adams County","ms_adams_county_00000","00000"
2629611,31.562116885829475,-91.35664150444485,788.3898315429688,"Adams County","ms_adams_county_00000","00000"
