census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
12005990000,0.0,0.0,0.0,0.0,0.0,0.0
12007000100,1574.0,495.0,613.0,1405.0,669.0,975.0
12007000200,1679.0,923.0,1394.0,2931.0,1014.0,1065.0
12007000300,1682.0,530.0,763.0,2128.0,1158.0,1450.0
12007000400,1042.0,693.0,1147.0,2267.0,671.0,623.0
12009060101,940.0,326.0,327.0,1306.0,606.0,688.0
12009060102,617.0,191.0,258.0,1015.0,562.0,903.0
12009060200,1178.0,377.0,346.0,1695.0,839.0,1158.0
12009060300,1039.0,347.0,422.0,1453.0,667.0,899.0
12009060400,876.0,326.0,363.0,1047.0,594.0,998.0
12009060500,943.0,289.0,466.0,1315.0,596.0,1052.0
12009060600,1217.0,446.0,542.0,1432.0,622.0,893.0
12009060700,985.0,402.0,335.0,835.0,341.0,356.0
12009061001,897.0,319.0,427.0,1196.0,533.0,1048.0
12009061002,675.0,234.0,370.0,918.0,388.0,632.0
12009061100,1139.0,364.0,436.0,1661.0,853.0,1574.0
12009061201,1577.0,520.0,680.0,1858.0,887.0,1182.0
12009061202,684.0,306.0,361.0,1112.0,674.0,765.0
12009062103,1641.0,604.0,634.0,2653.0,1257.0,1186.0
12009062104,1764.0,571.0,701.0,2480.0,893.0,664.0
12009062106,619.0,261.0,300.0,992.0,462.0,673.0
12009062107,669.0,209.0,273.0,1026.0,486.0,673.0
12009062108,1726.0,505.0,656.0,2363.0,804.0,626.0
12009062109,1169.0,2059.0,803.0,1812.0,529.0,435.0
12009062301,1027.0,414.0,361.0,1000.0,384.0,333.0
12009062302,752.0,327.0,331.0,784.0,299.0,502.0
12009062400,1915.0,744.0,887.0,1998.0,710.0,812.0
12009062500,869.0,271.0,388.0,1074.0,589.0,1010.0
12009062600,970.0,291.0,373.0,889.0,379.0,381.0
12009062800,612.0,187.0,212.0,1134.0,696.0,908.0
12009062900,1095.0,419.0,523.0,1404.0,638.0,859.0
12009063000,1017.0,406.0,440.0,1278.0,512.0,544.0
12009063102,1794.0,365.0,765.0,2342.0,1023.0,1680.0
12009063104,843.0,186.0,270.0,1184.0,432.0,588.0
12009063105,2050.0,690.0,869.0,2757.0,1196.0,1322.0
12009063106,1026.0,240.0,424.0,1325.0,469.0,647.0
12009063107,1564.0,374.0,588.0,2194.0,1189.0,3186.0
12009064102,1269.0,397.0,328.0,1790.0,790.0,814.0
12009064123,1074.0,718.0,813.0,1698.0,778.0,1250.0
12009064124,909.0,299.0,457.0,1425.0,588.0,791.0
12009064125,1172.0,309.0,491.0,1587.0,775.0,996.0
12009064126,856.0,355.0,355.0,1347.0,642.0,641.0
12009064127,1492.0,333.0,353.0,2271.0,1025.0,1654.0
12009064128,2566.0,508.0,702.0,3275.0,1401.0,2569.0
12009064201,464.0,158.0,231.0,729.0,345.0,407.0
12009064202,417.0,265.0,314.0,824.0,411.0,578.0
12009064301,1121.0,481.0,663.0,1662.0,628.0,806.0
12009064302,1278.0,549.0,714.0,1676.0,693.0,868.0
12009064400,1044.0,343.0,523.0,1518.0,609.0,943.0
12009064500,856.0,386.0,480.0,1295.0,523.0,633.0
12009064601,1272.0,464.0,666.0,1953.0,1033.0,1841.0
12009064602,286.0,111.0,183.0,432.0,291.0,734.0
12009064700,497.0,352.0,378.0,941.0,485.0,1515.0
12009064800,592.0,260.0,308.0,740.0,307.0,652.0
12009064901,1184.0,1613.0,601.0,1357.0,775.0,1266.0
12009064902,607.0,390.0,334.0,742.0,442.0,811.0
12009065001,491.0,175.0,224.0,812.0,388.0,382.0
12009065021,2304.0,724.0,1091.0,2739.0,1122.0,2062.0
