tract,0-18,19-25,26-34,35-54,55-64,65+
04015952500,839.0,301.0,317.0,1270.0,934.0,1662.0
04015952600,661.0,259.0,317.0,828.0,446.0,617.0
04015952700,1130.0,397.0,514.0,1228.0,662.0,1010.0
04015952800,1141.0,286.0,475.0,1507.0,1099.0,1816.0
04015952900,1104.0,356.0,471.0,1343.0,756.0,1231.0
04015953000,1009.0,313.0,391.0,1408.0,860.0,1348.0
04015953100,408.0,161.0,196.0,679.0,453.0,1001.0
04015953200,340.0,87.0,111.0,559.0,569.0,1005.0
04015953300,1182.0,329.0,509.0,1588.0,1020.0,1700.0
04015953401,1093.0,340.0,439.0,1347.0,809.0,1448.0
04015953402,1129.0,366.0,481.0,1499.0,901.0,1299.0
04015953601,2503.0,557.0,835.0,2397.0,1176.0,1480.0
04015953602,507.0,324.0,290.0,825.0,361.0,370.0
04015953800,1559.0,557.0,610.0,1571.0,728.0,1380.0
04015953900,1710.0,572.0,723.0,1742.0,880.0,1136.0
04015954800,771.0,441.0,731.0,2206.0,1401.0,1533.0
04015954900,729.0,231.0,297.0,906.0,648.0,1022.0
04015955000,1254.0,369.0,401.0,1425.0,786.0,1095.0
04017940008,432.0,153.0,114.0,337.0,125.0,210.0
04017940010,1229.0,339.0,307.0,770.0,231.0,245.0
04017940011,1052.0,328.0,304.0,702.0,198.0,266.0
04017940012,927.0,253.0,286.0,677.0,309.0,342.0
04017940013,1449.0,379.0,439.0,1151.0,445.0,380.0
04017940014,925.0,280.0,263.0,725.0,247.0,334.0
04017940015,1407.0,461.0,436.0,1059.0,400.0,462.0
04017940100,1592.0,514.0,468.0,1046.0,294.0,222.0
04017940301,1768.0,571.0,537.0,936.0,278.0,183.0
04017940302,1075.0,369.0,305.0,699.0,240.0,191.0
04017942300,807.0,251.0,268.0,668.0,268.0,285.0
04017942400,808.0,231.0,214.0,615.0,211.0,302.0
04017942500,2162.0,536.0,574.0,1366.0,457.0,253.0
04017960100,673.0,162.0,197.0,521.0,202.0,180.0
04017960200,1054.0,427.0,412.0,1024.0,385.0,486.0
04017960400,1159.0,355.0,337.0,1011.0,442.0,466.0
04017960500,988.0,525.0,777.0,1283.0,335.0,317.0
04017960600,1523.0,415.0,445.0,1192.0,512.0,502.0
04017961300,1040.0,304.0,331.0,1000.0,538.0,593.0
04017961700,1549.0,415.0,586.0,1640.0,928.0,1280.0
04017962500,815.0,161.0,226.0,837.0,530.0,612.0
04017963300,1741.0,330.0,497.0,1033.0,483.0,591.0
04017963400,860.0,199.0,270.0,812.0,576.0,568.0
04017963700,252.0,75.0,72.0,378.0,405.0,592.0
04017963800,1642.0,371.0,466.0,1085.0,459.0,553.0
04017964201,343.0,69.0,90.0,415.0,397.0,479.0
04017964202,497.0,101.0,148.0,381.0,265.0,256.0
04017964800,907.0,212.0,282.0,1072.0,760.0,971.0
04017964900,554.0,138.0,179.0,560.0,490.0,522.0
04017965200,1420.0,405.0,514.0,1173.0,686.0,777.0
04017965300,1118.0,288.0,365.0,1195.0,838.0,821.0
04019000100,27.0,69.0,117.0,129.0,54.0,126.0
04019000200,1038.0,715.0,656.0,1038.0,429.0,586.0
04019000300,346.0,289.0,260.0,474.0,200.0,131.0
04019000400,321.0,1350.0,654.0,762.0,245.0,149.0
04019000500,2125.0,5891.0,666.0,415.0,137.0,78.0
04019000600,684.0,1415.0,656.0,1091.0,609.0,535.0
04019000700,901.0,774.0,676.0,1255.0,590.0,718.0
04019000800,359.0,253.0,297.0,653.0,326.0,229.0
04019000900,537.0,340.0,527.0,800.0,311.0,344.0
04019001000,395.0,124.0,127.0,277.0,89.0,79.0
04019001100,825.0,302.0,350.0,762.0,308.0,384.0
04019001200,1342.0,469.0,457.0,900.0,334.0,337.0
04019001302,525.0,588.0,248.0,640.0,306.0,265.0
04019001303,861.0,432.0,436.0,890.0,306.0,270.0
04019001304,1461.0,907.0,779.0,1524.0,428.0,299.0
04019001400,722.0,2487.0,771.0,890.0,379.0,416.0
04019001500,412.0,2281.0,699.0,719.0,345.0,361.0
04019001600,585.0,692.0,547.0,959.0,509.0,428.0
04019001700,504.0,348.0,438.0,811.0,464.0,353.0
04019001801,1468.0,886.0,1008.0,1652.0,594.0,430.0
04019001802,429.0,392.0,445.0,657.0,298.0,196.0
04019001900,498.0,779.0,406.0,829.0,495.0,721.0
04019002000,1835.0,779.0,765.0,1896.0,801.0,999.0
04019002100,2277.0,727.0,867.0,1565.0,595.0,510.0
04019002201,1097.0,400.0,395.0,925.0,434.0,304.0
04019002202,1193.0,595.0,459.0,910.0,323.0,301.0
04019002300,1785.0,567.0,649.0,1505.0,587.0,612.0
04019002400,1886.0,643.0,645.0,1584.0,630.0,670.0
04019002501,1190.0,909.0,1022.0,1841.0,566.0,779.0
04019002503,1331.0,361.0,466.0,1000.0,372.0,667.0
04019002504,2143.0,530.0,757.0,1332.0,392.0,740.0
04019002505,2356.0,810.0,898.0,1655.0,550.0,354.0
04019002506,2775.0,852.0,1017.0,2099.0,656.0,673.0
04019002602,1195.0,972.0,781.0,1392.0,584.0,385.0
04019002603,1065.0,437.0,468.0,912.0,250.0,187.0
04019002604,1119.0,665.0,609.0,1052.0,307.0,194.0
04019002701,533.0,392.0,405.0,627.0,237.0,192.0
04019002702,864.0,826.0,818.0,1296.0,698.0,666.0
04019002703,516.0,972.0,658.0,782.0,289.0,189.0
04019002801,588.0,370.0,330.0,644.0,227.0,197.0
04019002802,904.0,674.0,744.0,1186.0,442.0,229.0
04019002803,498.0,386.0,381.0,636.0,277.0,178.0
04019002901,1355.0,688.0,935.0,1694.0,723.0,752.0
04019002903,254.0,243.0,354.0,542.0,391.0,493.0
04019002904,552.0,216.0,295.0,801.0,528.0,1486.0
04019002905,734.0,581.0,776.0,1190.0,519.0,582.0
04019003002,820.0,400.0,555.0,1328.0,608.0,820.0
04019003003,644.0,580.0,583.0,1078.0,553.0,857.0
04019003004,322.0,103.0,217.0,412.0,221.0,289.0
04019003101,1358.0,819.0,996.0,1708.0,639.0,575.0
04019003102,759.0,368.0,442.0,1130.0,592.0,646.0
04019003200,1183.0,702.0,797.0,1987.0,836.0,677.0
04019003302,1049.0,358.0,500.0,1233.0,439.0,609.0
04019003303,614.0,364.0,348.0,944.0,519.0,837.0
04019003304,577.0,510.0,555.0,792.0,362.0,420.0
