census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
29021002300,619.0,198.0,258.0,680.0,310.0,307.0
29021002400,494.0,216.0,216.0,580.0,232.0,269.0
29021002500,610.0,219.0,269.0,666.0,255.0,318.0
29021002700,873.0,232.0,247.0,975.0,475.0,551.0
29021002800,1178.0,328.0,458.0,1558.0,697.0,694.0
29021002900,825.0,222.0,315.0,1059.0,403.0,462.0
29021003000,1746.0,789.0,825.0,1859.0,588.0,572.0
29023950100,1136.0,341.0,507.0,1650.0,838.0,967.0
29023950201,1333.0,286.0,535.0,1561.0,683.0,721.0
29023950202,1219.0,375.0,498.0,1597.0,790.0,821.0
29023950300,1661.0,592.0,755.0,1625.0,855.0,1619.0
29023950400,961.0,360.0,397.0,905.0,368.0,374.0
29023950500,597.0,231.0,283.0,667.0,360.0,478.0
29023950600,1061.0,338.0,431.0,1175.0,558.0,779.0
29023950700,902.0,316.0,372.0,732.0,279.0,350.0
29023950800,710.0,336.0,347.0,832.0,390.0,461.0
29023950900,954.0,304.0,385.0,1096.0,485.0,695.0
29025950100,782.0,206.0,266.0,827.0,377.0,509.0
29025950200,1752.0,395.0,632.0,1844.0,858.0,1067.0
29027070100,1380.0,348.0,481.0,1590.0,674.0,682.0
29027070200,863.0,250.0,313.0,1168.0,559.0,512.0
29027070300,1260.0,1002.0,1278.0,2197.0,682.0,963.0
29027070400,1363.0,1812.0,565.0,1165.0,511.0,688.0
29027070500,1278.0,353.0,499.0,1573.0,761.0,586.0
29027070600,1774.0,401.0,610.0,2155.0,793.0,767.0
29027070700,1623.0,429.0,699.0,1952.0,907.0,763.0
29027070800,1203.0,363.0,559.0,1333.0,618.0,499.0
29029950100,833.0,228.0,421.0,1170.0,980.0,1077.0
29029950200,1090.0,497.0,554.0,1627.0,1072.0,1327.0
29029950300,433.0,149.0,176.0,676.0,560.0,644.0
29029950400,860.0,225.0,324.0,944.0,540.0,718.0
29029950500,1005.0,375.0,463.0,977.0,392.0,562.0
29029950600,1044.0,249.0,358.0,1254.0,668.0,646.0
29029950700,493.0,129.0,174.0,835.0,852.0,1216.0
29029950800,1712.0,490.0,636.0,1897.0,1062.0,1092.0
29029950900,798.0,231.0,298.0,1018.0,450.0,475.0
29029951100,353.0,106.0,132.0,697.0,735.0,905.0
29029951200,284.0,103.0,110.0,583.0,542.0,872.0
29031880100,1445.0,402.0,540.0,1915.0,810.0,688.0
29031880200,990.0,241.0,359.0,1224.0,483.0,563.0
29031880300,1044.0,270.0,384.0,1381.0,655.0,710.0
29031880400,1843.0,570.0,839.0,1868.0,828.0,1047.0
29031880500,2483.0,723.0,1047.0,2565.0,1047.0,1282.0
29031880600,1518.0,732.0,613.0,1960.0,849.0,751.0
29031880700,942.0,532.0,449.0,1195.0,633.0,657.0
29031880800,757.0,2726.0,337.0,427.0,157.0,241.0
29031880900,697.0,537.0,398.0,590.0,213.0,224.0
29031881000,299.0,556.0,319.0,452.0,189.0,135.0
29031881100,684.0,434.0,466.0,830.0,377.0,503.0
29031881200,1432.0,537.0,712.0,1730.0,905.0,1119.0
29031881300,1409.0,992.0,930.0,1502.0,659.0,1098.0
29031881400,740.0,295.0,305.0,639.0,267.0,306.0
29031881500,876.0,282.0,375.0,1177.0,623.0,1180.0
29031881600,704.0,521.0,370.0,612.0,256.0,330.0
29033960100,621.0,143.0,231.0,736.0,351.0,467.0
29033960200,641.0,166.0,218.0,781.0,364.0,501.0
29033960300,1050.0,302.0,454.0,1019.0,530.0,811.0
29035960100,1041.0,304.0,371.0,1027.0,489.0,526.0
29035960200,581.0,181.0,216.0,716.0,356.0,514.0
29037060001,1006.0,294.0,430.0,1255.0,588.0,665.0
29037060003,957.0,243.0,485.0,974.0,359.0,394.0
29037060004,1726.0,536.0,761.0,1835.0,607.0,423.0
29037060100,592.0,287.0,290.0,400.0,111.0,47.0
29037060202,1291.0,363.0,616.0,1409.0,538.0,549.0
29037060301,2631.0,561.0,1096.0,2687.0,977.0,1340.0
29037060302,2151.0,516.0,844.0,2284.0,881.0,1072.0
29037060305,1408.0,195.0,491.0,1459.0,412.0,509.0
29037060400,1007.0,217.0,274.0,1385.0,749.0,850.0
29037060500,766.0,204.0,195.0,1010.0,421.0,395.0
29037060600,2458.0,651.0,1018.0,2293.0,710.0,942.0
29037060700,1038.0,271.0,418.0,1119.0,436.0,515.0
29037060800,1450.0,321.0,433.0,1916.0,801.0,1072.0
29037060904,883.0,268.0,352.0,872.0,333.0,496.0
29037061001,1106.0,285.0,332.0,1515.0,722.0,669.0
29037061002,1822.0,503.0,769.0,1966.0,747.0,696.0
29037061100,1034.0,271.0,335.0,1274.0,601.0,645.0
29037061200,1140.0,257.0,420.0,1221.0,428.0,570.0
29037061300,1702.0,561.0,763.0,1459.0,467.0,954.0
29037061400,1555.0,509.0,717.0,1414.0,510.0,687.0
29039870100,1460.0,325.0,403.0,1464.0,885.0,1170.0
29039870200,1217.0,369.0,489.0,1275.0,632.0,1079.0
29039870300,789.0,182.0,258.0,803.0,442.0,877.0
29041470100,556.0,97.0,198.0,660.0,357.0,524.0
29041470200,596.0,171.0,235.0,650.0,336.0,571.0
29041470300,717.0,208.0,256.0,796.0,393.0,580.0
29043020101,808.0,208.0,265.0,889.0,428.0,476.0
29043020102,1486.0,391.0,736.0,1517.0,562.0,558.0
29043020201,1200.0,316.0,318.0,1548.0,553.0,491.0
29043020202,1520.0,446.0,610.0,1725.0,779.0,950.0
29043020203,1946.0,458.0,834.0,1897.0,623.0,903.0
29043020204,1386.0,282.0,645.0,1258.0,344.0,343.0
29043020205,1904.0,412.0,881.0,1806.0,580.0,690.0
29043020302,1687.0,417.0,681.0,1702.0,584.0,753.0
29043020303,1561.0,389.0,615.0,1498.0,547.0,514.0
29043020304,835.0,257.0,412.0,819.0,289.0,474.0
29043020305,1796.0,601.0,857.0,1635.0,638.0,567.0
29043020306,2173.0,579.0,1002.0,2152.0,707.0,864.0
29043020400,2062.0,565.0,860.0,2261.0,984.0,978.0
29043020500,1823.0,467.0,655.0,2277.0,997.0,903.0
29045950100,511.0,113.0,157.0,586.0,323.0,357.0
29045950200,530.0,143.0,215.0,625.0,328.0,355.0
29045950300,763.0,225.0,322.0,764.0,354.0,549.0
29047020201,1145.0,657.0,880.0,1365.0,489.0,541.0
29047020202,691.0,201.0,389.0,1079.0,693.0,678.0
29047020300,1374.0,590.0,824.0,1703.0,728.0,780.0
29047020400,546.0,292.0,405.0,707.0,270.0,281.0
29047020500,1596.0,543.0,780.0,1685.0,674.0,711.0
29047020602,1133.0,541.0,630.0,1109.0,342.0,395.0
29047020603,976.0,324.0,557.0,1013.0,342.0,317.0
29047020604,1231.0,389.0,713.0,1410.0,504.0,534.0
29047020801,1445.0,481.0,742.0,1876.0,821.0,994.0
29047020901,1325.0,409.0,697.0,1638.0,888.0,768.0
29047020902,676.0,175.0,318.0,724.0,253.0,249.0
29047021001,831.0,324.0,488.0,977.0,439.0,552.0
29047021003,772.0,261.0,341.0,1061.0,676.0,768.0
29047021004,732.0,255.0,421.0,919.0,348.0,449.0
29047021101,1020.0,369.0,585.0,1277.0,557.0,809.0
29047021102,1437.0,571.0,738.0,1791.0,855.0,1149.0
29047021103,848.0,267.0,341.0,995.0,541.0,685.0
29047021204,1414.0,597.0,853.0,1455.0,523.0,337.0
29047021205,1801.0,612.0,946.0,2108.0,683.0,449.0
29047021206,1684.0,460.0,881.0,2076.0,1050.0,1073.0
29047021207,744.0,291.0,567.0,693.0,250.0,212.0
29047021208,1647.0,804.0,1101.0,1698.0,538.0,442.0
29047021303,1029.0,110.0,357.0,1106.0,337.0,183.0
29047021305,2282.0,426.0,1149.0,2446.0,706.0,571.0
29047021306,1902.0,548.0,905.0,2348.0,800.0,588.0
29047021307,1983.0,517.0,861.0,2031.0,388.0,209.0
29047021309,1520.0,162.0,338.0,1531.0,319.0,179.0
29047021310,2363.0,292.0,1493.0,2035.0,368.0,230.0
29047021401,1180.0,953.0,430.0,1270.0,500.0,530.0
29047021403,808.0,294.0,404.0,865.0,324.0,357.0
29047021404,1015.0,316.0,413.0,1158.0,624.0,785.0
29047021600,2609.0,451.0,821.0,2836.0,913.0,731.0
29047021701,1442.0,404.0,586.0,1415.0,623.0,888.0
29047021702,1659.0,776.0,672.0,1831.0,699.0,882.0
29047021803,2399.0,398.0,1340.0,2259.0,523.0,357.0
29047021804,1870.0,331.0,432.0,2403.0,962.0,728.0
29047021805,2621.0,462.0,838.0,2748.0,828.0,677.0
29047021806,915.0,269.0,298.0,1076.0,563.0,639.0
29047021900,1778.0,304.0,637.0,2100.0,767.0,491.0
29047022000,1364.0,266.0,494.0,1564.0,498.0,612.0
29047022100,706.0,465.0,651.0,1269.0,532.0,706.0
29047022200,1162.0,318.0,579.0,1195.0,377.0,478.0
29047022301,826.0,265.0,444.0,906.0,291.0,330.0
29047022302,1699.0,324.0,518.0,1970.0,756.0,640.0
29049960100,1504.0,428.0,676.0,1322.0,494.0,891.0
29049960200,1734.0,436.0,578.0,2146.0,913.0,951.0
29049960300,1039.0,280.0,316.0,1387.0,621.0,746.0
29049960400,1160.0,286.0,440.0,1349.0,598.0,672.0
29051010300,1145.0,453.0,595.0,1379.0,670.0,727.0
29051010400,1770.0,488.0,832.0,2087.0,953.0,866.0
29051010500,1161.0,1283.0,583.0,1042.0,414.0,405.0
29051010600,878.0,416.0,587.0,793.0,421.0,680.0
29051010701,1367.0,393.0,673.0,1553.0,708.0,718.0
29051010702,1182.0,309.0,581.0,1307.0,719.0,738.0
29051010800,2266.0,685.0,976.0,2409.0,1238.0,1387.0
29051010900,1514.0,438.0,800.0,1744.0,807.0,1008.0
29051020198,1137.0,580.0,1353.0,3215.0,732.0,469.0
29051020200,1316.0,251.0,385.0,1350.0,475.0,427.0
29051020300,916.0,272.0,357.0,1131.0,525.0,374.0
29051020400,1943.0,541.0,783.0,1897.0,747.0,509.0
29051020500,771.0,187.0,265.0,852.0,386.0,347.0
29051020600,1044.0,269.0,356.0,1313.0,560.0,528.0
29051020700,593.0,338.0,313.0,665.0,212.0,142.0
29053950100,864.0,213.0,302.0,1026.0,449.0,488.0
29053950200,582.0,703.0,709.0,770.0,249.0,211.0
29053950300,922.0,280.0,388.0,1062.0,492.0,740.0
29053950400,570.0,173.0,267.0,633.0,290.0,475.0
