tract,0-18,19-25,26-34,35-54,55-64,65+
48027021700,1909.0,716.0,872.0,1950.0,871.0,1110.0
48027021800,2677.0,747.0,1204.0,2508.0,855.0,586.0
48027021901,817.0,379.0,428.0,922.0,356.0,611.0
48027021903,3031.0,545.0,927.0,2960.0,623.0,386.0
48027021904,2764.0,859.0,1267.0,2664.0,820.0,582.0
48027022000,2365.0,1113.0,1151.0,2243.0,643.0,534.0
48027022101,1094.0,750.0,635.0,967.0,399.0,473.0
48027022103,1921.0,812.0,1058.0,1336.0,306.0,154.0
48027022104,1165.0,895.0,757.0,907.0,409.0,316.0
48027022105,758.0,372.0,401.0,535.0,173.0,108.0
48027022200,853.0,806.0,593.0,661.0,157.0,223.0
48027022300,1024.0,775.0,581.0,954.0,393.0,330.0
48027022401,1782.0,759.0,892.0,1395.0,428.0,396.0
48027022402,1632.0,271.0,765.0,1501.0,204.0,114.0
48027022403,1425.0,481.0,685.0,1361.0,443.0,178.0
48027022404,2697.0,645.0,1171.0,2289.0,401.0,312.0
48027022405,376.0,467.0,375.0,400.0,111.0,47.0
48027022501,928.0,511.0,463.0,751.0,353.0,457.0
48027022502,3046.0,1228.0,1640.0,2742.0,567.0,470.0
48027022600,1238.0,816.0,729.0,966.0,304.0,294.0
48027022801,624.0,521.0,427.0,662.0,199.0,141.0
48027022900,913.0,807.0,576.0,806.0,300.0,326.0
48027023000,2132.0,778.0,1153.0,1831.0,606.0,630.0
48027023103,1202.0,670.0,681.0,1016.0,436.0,512.0
48027023104,841.0,593.0,531.0,721.0,253.0,334.0
48027023105,3359.0,1097.0,2084.0,2009.0,287.0,126.0
48027023106,3526.0,1586.0,2052.0,2351.0,260.0,114.0
48027023107,2413.0,1268.0,1306.0,1643.0,389.0,183.0
48027023108,4922.0,2210.0,2726.0,3340.0,599.0,266.0
48027023201,861.0,780.0,614.0,449.0,11.0,5.0
48027023202,1898.0,1824.0,1019.0,518.0,10.0,3.0
48027023203,1299.0,499.0,726.0,429.0,8.0,4.0
48027023204,847.0,2473.0,857.0,340.0,7.0,2.0
48027023300,1799.0,540.0,692.0,2203.0,1024.0,777.0
48027023402,1439.0,310.0,460.0,1431.0,663.0,619.0
48027023403,1188.0,287.0,396.0,1542.0,895.0,1130.0
48027023404,938.0,242.0,297.0,1171.0,510.0,585.0
48027023500,623.0,424.0,384.0,531.0,147.0,82.0
48027980001,12.0,244.0,59.0,6.0,0.0,0.0
48027980002,0.0,0.0,0.0,0.0,0.0,0.0
48027980003,0.0,0.0,0.0,0.0,0.0,0.0
48029110100,175.0,404.0,737.0,1199.0,431.0,521.0
