tract,0-18,19-25,26-34,35-54,55-64,65+
41039000200,922.0,258.0,303.0,1402.0,1084.0,953.0
41039000300,567.0,139.0,171.0,683.0,447.0,354.0
41039000402,590.0,205.0,232.0,987.0,696.0,592.0
41039000403,1309.0,423.0,606.0,1352.0,612.0,698.0
41039000404,848.0,250.0,369.0,959.0,490.0,709.0
41039000500,385.0,107.0,171.0,591.0,475.0,433.0
41039000702,374.0,132.0,141.0,584.0,537.0,774.0
41039000705,555.0,256.0,279.0,774.0,587.0,1164.0
41039000706,293.0,98.0,139.0,488.0,556.0,965.0
41039000707,545.0,163.0,241.0,766.0,661.0,1644.0
41039000708,312.0,86.0,129.0,585.0,458.0,678.0
41039000800,314.0,88.0,110.0,498.0,331.0,283.0
41039000902,864.0,241.0,349.0,1371.0,1018.0,751.0
41039000903,1263.0,343.0,586.0,1537.0,875.0,783.0
41039000904,747.0,209.0,361.0,904.0,427.0,376.0
41039001001,462.0,172.0,149.0,732.0,460.0,490.0
41039001002,800.0,321.0,338.0,1251.0,840.0,651.0
41039001101,1375.0,343.0,643.0,1626.0,903.0,739.0
41039001102,953.0,263.0,394.0,1036.0,618.0,626.0
41039001201,880.0,308.0,370.0,1185.0,651.0,644.0
41039001202,882.0,254.0,360.0,1107.0,663.0,714.0
41039001301,738.0,222.0,282.0,898.0,493.0,788.0
41039001302,1342.0,370.0,609.0,1349.0,644.0,822.0
41039001400,521.0,123.0,204.0,710.0,492.0,456.0
41039001500,922.0,262.0,337.0,1200.0,816.0,970.0
41039001600,1051.0,279.0,418.0,1583.0,991.0,731.0
41039001700,1080.0,306.0,360.0,1521.0,1028.0,1091.0
41039001801,1461.0,391.0,764.0,1629.0,620.0,536.0
41039001803,972.0,325.0,499.0,1115.0,500.0,550.0
41039001804,1026.0,251.0,420.0,1170.0,463.0,374.0
41039001902,1975.0,805.0,1056.0,1759.0,545.0,453.0
41039001903,884.0,286.0,414.0,885.0,298.0,218.0
41039001904,1113.0,486.0,610.0,1319.0,627.0,846.0
41039002001,649.0,201.0,280.0,859.0,488.0,675.0
41039002002,1191.0,403.0,612.0,1313.0,688.0,832.0
41039002101,687.0,292.0,353.0,657.0,327.0,474.0
41039002102,1500.0,897.0,1011.0,1556.0,659.0,991.0
41039002201,646.0,253.0,276.0,822.0,579.0,990.0
41039002202,1453.0,417.0,589.0,1647.0,820.0,875.0
41039002301,1003.0,313.0,514.0,994.0,506.0,615.0
41039002302,1206.0,278.0,521.0,1407.0,654.0,504.0
41039002401,871.0,243.0,404.0,1221.0,639.0,564.0
41039002403,1020.0,232.0,478.0,1270.0,593.0,716.0
41039002404,970.0,291.0,507.0,1029.0,587.0,671.0
41039002501,1308.0,453.0,653.0,1459.0,567.0,450.0
41039002503,2051.0,498.0,1045.0,2095.0,827.0,1282.0
41039002504,786.0,394.0,432.0,791.0,279.0,213.0
41039002600,1580.0,849.0,916.0,1725.0,644.0,858.0
41039002700,1090.0,340.0,519.0,1118.0,516.0,471.0
41039002800,954.0,363.0,574.0,1183.0,614.0,557.0
41039002902,941.0,351.0,531.0,982.0,509.0,728.0
41039002903,549.0,193.0,287.0,725.0,420.0,409.0
41039002904,526.0,689.0,598.0,799.0,353.0,700.0
41039003000,748.0,434.0,489.0,1047.0,716.0,878.0
41039003101,1357.0,439.0,597.0,1540.0,842.0,1106.0
41039003102,1196.0,2730.0,771.0,1112.0,630.0,692.0
41039003201,890.0,370.0,476.0,865.0,302.0,371.0
41039003202,808.0,524.0,593.0,1011.0,596.0,491.0
41039003301,813.0,377.0,492.0,911.0,356.0,374.0
41039003302,660.0,383.0,552.0,1062.0,471.0,316.0
41039003400,1187.0,560.0,809.0,1402.0,495.0,429.0
41039003500,1096.0,303.0,518.0,1243.0,598.0,579.0
41039003600,592.0,399.0,345.0,978.0,733.0,538.0
41039003700,1149.0,2352.0,212.0,162.0,65.0,41.0
41039003800,402.0,5317.0,437.0,292.0,108.0,79.0
41039003900,156.0,765.0,699.0,749.0,263.0,381.0
41039004000,365.0,300.0,464.0,703.0,297.0,380.0
41039004100,749.0,309.0,485.0,1192.0,651.0,451.0
41039004200,648.0,578.0,655.0,1223.0,446.0,155.0
41039004300,1582.0,615.0,824.0,1963.0,769.0,1066.0
41039004401,1481.0,701.0,859.0,1625.0,616.0,770.0
41039004403,1019.0,710.0,932.0,1283.0,542.0,346.0
41039004404,694.0,285.0,330.0,980.0,616.0,518.0
41039004405,1048.0,289.0,395.0,1463.0,869.0,655.0
41039004501,251.0,641.0,494.0,549.0,324.0,261.0
41039004502,481.0,708.0,744.0,900.0,391.0,202.0
41039004600,491.0,331.0,402.0,755.0,415.0,292.0
41039004700,567.0,693.0,515.0,842.0,539.0,407.0
41039004800,474.0,2570.0,578.0,574.0,300.0,202.0
41039004900,656.0,1448.0,369.0,864.0,576.0,494.0
41039005000,1082.0,522.0,656.0,1384.0,926.0,584.0
41039005100,572.0,342.0,483.0,923.0,441.0,403.0
41039005200,370.0,138.0,198.0,582.0,390.0,432.0
41039005300,482.0,176.0,269.0,702.0,479.0,403.0
41039005400,1055.0,332.0,461.0,1479.0,1023.0,881.0
41039990000,0.0,0.0,0.0,0.0,0.0,0.0
41041950100,648.0,185.0,319.0,969.0,606.0,653.0
41041950303,193.0,59.0,89.0,320.0,275.0,409.0
41041950304,606.0,247.0,335.0,810.0,536.0,742.0
41041950400,741.0,314.0,442.0,1069.0,665.0,690.0
41041950601,309.0,112.0,154.0,572.0,592.0,792.0
41041950602,217.0,109.0,171.0,527.0,509.0,646.0
41041950800,566.0,198.0,289.0,691.0,575.0,873.0
41041950900,869.0,255.0,376.0,901.0,480.0,533.0
41041951000,454.0,255.0,369.0,663.0,315.0,251.0
41041951100,257.0,124.0,157.0,398.0,336.0,373.0
41041951200,315.0,77.0,128.0,485.0,453.0,475.0
41041951300,526.0,148.0,238.0,713.0,487.0,394.0
41041951400,747.0,244.0,332.0,857.0,423.0,371.0
41041951500,271.0,73.0,125.0,567.0,658.0,743.0
41041951600,578.0,171.0,221.0,950.0,726.0,901.0
41041951700,253.0,229.0,85.0,390.0,519.0,554.0
41041951800,898.0,229.0,337.0,1069.0,751.0,572.0
41041990100,0.0,0.0,0.0,0.0,0.0,0.0
41043020100,2270.0,695.0,1208.0,2666.0,1199.0,1196.0
41043020200,367.0,281.0,235.0,451.0,305.0,210.0
41043020300,1907.0,538.0,784.0,2178.0,955.0,828.0
41043020400,1066.0,506.0,634.0,1221.0,499.0,392.0
41043020500,847.0,402.0,420.0,919.0,495.0,753.0
41043020600,2189.0,695.0,1031.0,2086.0,930.0,1620.0
41043020700,1508.0,616.0,724.0,1433.0,626.0,653.0
41043020801,591.0,345.0,419.0,693.0,269.0,223.0
41043020802,1895.0,856.0,940.0,1454.0,500.0,491.0
41043030100,1427.0,378.0,477.0,1675.0,945.0,1088.0
41043030200,1631.0,392.0,591.0,1892.0,1100.0,1123.0
41043030300,496.0,154.0,154.0,643.0,448.0,453.0
41043030401,1671.0,449.0,561.0,1761.0,988.0,1073.0
41043030402,1688.0,441.0,659.0,1756.0,965.0,1246.0
41043030500,982.0,239.0,346.0,1208.0,771.0,682.0
41043030600,1976.0,519.0,796.0,1977.0,780.0,739.0
41043030700,866.0,235.0,348.0,1089.0,698.0,833.0
41043030800,1947.0,739.0,854.0,2053.0,970.0,1294.0
41043030902,1773.0,524.0,632.0,2091.0,1147.0,1251.0
41043030903,1524.0,483.0,648.0,1554.0,682.0,1188.0
41043030904,1074.0,348.0,414.0,1079.0,509.0,655.0
41045940000,0.0,0.0,0.0,0.0,0.0,0.0
41045970200,1307.0,277.0,408.0,1136.0,620.0,879.0
41045970300,1035.0,512.0,379.0,893.0,524.0,776.0
41045970400,1969.0,714.0,656.0,1234.0,417.0,500.0
41045970500,1711.0,442.0,552.0,1244.0,543.0,706.0
41045970600,1261.0,330.0,475.0,1120.0,547.0,783.0
41045970700,473.0,115.0,158.0,422.0,229.0,341.0
41045970900,721.0,664.0,1074.0,2140.0,692.0,709.0
41047000200,448.0,1235.0,321.0,571.0,336.0,349.0
41047000300,1437.0,623.0,740.0,1440.0,492.0,345.0
41047000400,1581.0,578.0,786.0,1346.0,396.0,331.0
41047000501,1307.0,368.0,455.0,1046.0,309.0,298.0
41047000502,1867.0,702.0,752.0,1382.0,401.0,309.0
41047000600,1126.0,449.0,632.0,1470.0,661.0,576.0
41047000701,1676.0,963.0,1440.0,2725.0,826.0,648.0
41047000900,1306.0,1168.0,790.0,1466.0,677.0,422.0
41047001000,1167.0,476.0,435.0,968.0,389.0,468.0
41047001100,1066.0,406.0,574.0,1233.0,578.0,745.0
41047001200,755.0,337.0,487.0,1010.0,525.0,521.0
41047001300,880.0,441.0,510.0,1137.0,649.0,473.0
