tract,0-18,19-25,26-34,35-54,55-64,65+
22017021800,482.0,158.0,158.0,365.0,157.0,189.0
22017021900,366.0,131.0,167.0,344.0,205.0,255.0
22017022000,458.0,148.0,167.0,439.0,226.0,390.0
22017022100,1608.0,610.0,647.0,1398.0,898.0,824.0
22017022200,1578.0,617.0,689.0,1331.0,727.0,527.0
22017022300,969.0,316.0,356.0,722.0,357.0,314.0
22017022400,1449.0,415.0,519.0,1051.0,324.0,263.0
22017022500,1573.0,527.0,585.0,1305.0,537.0,509.0
22017022600,772.0,149.0,308.0,947.0,468.0,500.0
22017022700,538.0,167.0,349.0,694.0,262.0,340.0
22017022800,951.0,276.0,628.0,1151.0,481.0,528.0
22017022900,887.0,808.0,861.0,1297.0,523.0,689.0
22017023000,856.0,405.0,573.0,1069.0,642.0,1051.0
22017023100,296.0,63.0,83.0,393.0,239.0,468.0
22017023200,533.0,175.0,192.0,446.0,180.0,135.0
22017023300,642.0,198.0,217.0,509.0,236.0,244.0
22017023400,2561.0,766.0,896.0,1863.0,603.0,493.0
22017023500,964.0,359.0,390.0,904.0,520.0,598.0
22017023600,840.0,323.0,272.0,629.0,369.0,559.0
22017023700,2257.0,812.0,800.0,1638.0,649.0,541.0
22017023800,1435.0,601.0,664.0,1471.0,841.0,1429.0
22017023901,1275.0,976.0,1014.0,1513.0,794.0,1249.0
22017023903,1019.0,230.0,398.0,1022.0,495.0,895.0
22017023904,575.0,430.0,405.0,706.0,390.0,630.0
22017023905,1034.0,700.0,696.0,1262.0,471.0,481.0
22017024000,2918.0,466.0,969.0,3407.0,1479.0,1303.0
22017024102,965.0,336.0,434.0,1279.0,554.0,659.0
22017024104,1901.0,776.0,929.0,1751.0,630.0,756.0
22017024106,1912.0,744.0,1130.0,1972.0,827.0,919.0
22017024107,1405.0,412.0,687.0,1347.0,497.0,671.0
22017024108,1794.0,584.0,767.0,1828.0,777.0,1318.0
22017024109,884.0,298.0,481.0,1015.0,395.0,631.0
22017024201,1055.0,450.0,608.0,1109.0,398.0,294.0
22017024202,1760.0,516.0,885.0,2140.0,995.0,1001.0
22017024203,1241.0,472.0,666.0,1919.0,700.0,749.0
22017024301,1873.0,589.0,723.0,1922.0,1130.0,871.0
22017024303,1608.0,698.0,864.0,1729.0,647.0,565.0
22017024304,1080.0,378.0,463.0,1515.0,844.0,748.0
22017024400,1093.0,441.0,579.0,1432.0,762.0,793.0
22017024503,1326.0,464.0,583.0,1389.0,615.0,572.0
22017024504,1514.0,426.0,631.0,1780.0,730.0,744.0
22017024601,2159.0,727.0,625.0,1157.0,478.0,490.0
22017024602,1516.0,908.0,972.0,1706.0,607.0,627.0
22017024700,439.0,134.0,248.0,531.0,280.0,346.0
22017024800,249.0,83.0,96.0,342.0,160.0,174.0
22017024900,855.0,283.0,343.0,961.0,447.0,539.0
22017025000,1058.0,339.0,431.0,907.0,406.0,612.0
22017025100,449.0,159.0,183.0,560.0,309.0,413.0
22017025200,225.0,82.0,104.0,308.0,169.0,250.0
22017025300,260.0,191.0,212.0,555.0,198.0,151.0
22017025405,1034.0,338.0,491.0,1265.0,666.0,622.0
22017025406,1084.0,310.0,438.0,1385.0,674.0,619.0
22017980000,0.0,0.0,0.0,0.0,0.0,0.0
22019000100,376.0,236.0,338.0,623.0,274.0,281.0
22019000200,345.0,129.0,152.0,431.0,217.0,255.0
22019000300,569.0,158.0,163.0,457.0,180.0,327.0
22019000400,556.0,146.0,168.0,349.0,189.0,179.0
22019000500,671.0,303.0,457.0,927.0,422.0,426.0
22019000600,2053.0,621.0,727.0,1735.0,830.0,740.0
22019000700,1342.0,574.0,683.0,1121.0,499.0,664.0
22019000800,750.0,450.0,469.0,933.0,365.0,407.0
22019000900,1012.0,317.0,386.0,1173.0,478.0,717.0
22019001000,706.0,369.0,378.0,953.0,510.0,837.0
22019001100,749.0,1534.0,631.0,735.0,284.0,409.0
22019001201,1526.0,563.0,667.0,1164.0,473.0,447.0
22019001202,1060.0,492.0,438.0,669.0,270.0,182.0
22019001300,1505.0,682.0,772.0,1679.0,744.0,1099.0
22019001400,1622.0,474.0,630.0,1452.0,716.0,790.0
22019001500,450.0,172.0,214.0,519.0,255.0,301.0
22019001600,1117.0,714.0,953.0,1617.0,557.0,502.0
22019001700,2218.0,1197.0,1120.0,2375.0,999.0,942.0
22019001801,2948.0,948.0,1159.0,3088.0,1161.0,845.0
22019001901,656.0,184.0,228.0,845.0,537.0,707.0
22019001903,1382.0,835.0,751.0,1500.0,698.0,823.0
22019001904,1271.0,507.0,457.0,1519.0,684.0,758.0
22019002000,2653.0,806.0,1099.0,2784.0,1024.0,964.0
22019002100,937.0,265.0,365.0,831.0,332.0,334.0
22019002201,2348.0,562.0,923.0,2437.0,991.0,701.0
22019002203,1987.0,613.0,765.0,2032.0,720.0,589.0
22019002204,1414.0,355.0,545.0,1486.0,597.0,627.0
22019002300,743.0,204.0,321.0,842.0,359.0,396.0
22019002400,1632.0,465.0,634.0,1550.0,749.0,909.0
22019002500,1009.0,286.0,399.0,1084.0,456.0,402.0
22019002600,1287.0,436.0,621.0,1234.0,578.0,737.0
22019002700,2243.0,673.0,1014.0,2579.0,1084.0,858.0
22019002800,1290.0,483.0,611.0,1245.0,479.0,562.0
22019002900,513.0,193.0,303.0,531.0,226.0,353.0
22019003000,1323.0,501.0,619.0,1187.0,528.0,729.0
22019003101,1345.0,418.0,605.0,1385.0,711.0,854.0
22019003102,675.0,194.0,273.0,742.0,342.0,286.0
22019003200,617.0,174.0,266.0,662.0,268.0,205.0
22019003300,1453.0,479.0,553.0,1303.0,519.0,535.0
22019003400,1381.0,300.0,456.0,1491.0,558.0,490.0
22019003500,974.0,337.0,363.0,988.0,365.0,501.0
22019003600,1027.0,296.0,424.0,1239.0,572.0,656.0
22019980000,0.0,0.0,0.0,0.0,0.0,0.0
22019980100,0.0,0.0,0.0,0.0,0.0,0.0
22021000100,615.0,179.0,236.0,723.0,386.0,378.0
22021000200,771.0,274.0,290.0,860.0,443.0,512.0
22021000300,1125.0,400.0,590.0,1332.0,542.0,614.0
22023970100,1330.0,393.0,549.0,1548.0,521.0,596.0
22023970201,445.0,151.0,188.0,610.0,299.0,285.0
22023990000,0.0,0.0,0.0,0.0,0.0,0.0
22025000100,1000.0,469.0,732.0,1366.0,580.0,599.0
22025000200,776.0,221.0,280.0,669.0,313.0,418.0
22025000300,724.0,236.0,320.0,851.0,472.0,486.0
22027950100,707.0,234.0,227.0,972.0,550.0,750.0
22027950200,481.0,566.0,1169.0,1808.0,520.0,476.0
22027950300,671.0,186.0,246.0,637.0,303.0,488.0
22027950400,1031.0,339.0,327.0,887.0,423.0,597.0
22027950500,699.0,221.0,284.0,768.0,410.0,443.0
22029000100,565.0,164.0,213.0,656.0,450.0,511.0
22029000200,1748.0,506.0,593.0,1327.0,669.0,767.0
22029000300,1200.0,336.0,498.0,1223.0,546.0,577.0
22029000400,1272.0,353.0,473.0,1242.0,552.0,741.0
22029000500,732.0,453.0,715.0,1202.0,378.0,430.0
22031950100,2261.0,601.0,949.0,2715.0,1196.0,1074.0
22031950200,1124.0,351.0,411.0,1194.0,587.0,714.0
22031950300,645.0,197.0,246.0,824.0,393.0,444.0
22031950400,834.0,317.0,353.0,842.0,367.0,465.0
22031950500,566.0,161.0,217.0,580.0,296.0,294.0
22031950600,917.0,264.0,309.0,734.0,348.0,419.0
22031950700,683.0,210.0,269.0,758.0,381.0,438.0
22033000100,607.0,152.0,214.0,416.0,154.0,110.0
22033000200,2382.0,690.0,827.0,1745.0,673.0,519.0
22033000300,587.0,183.0,214.0,517.0,193.0,116.0
22033000400,1034.0,321.0,354.0,873.0,316.0,216.0
22033000500,1315.0,470.0,513.0,1024.0,501.0,367.0
22033000601,1201.0,431.0,430.0,959.0,412.0,255.0
22033000602,1216.0,406.0,473.0,1120.0,559.0,550.0
22033000701,783.0,290.0,329.0,676.0,230.0,158.0
22033000702,992.0,550.0,474.0,891.0,404.0,327.0
22033000900,1171.0,418.0,410.0,1147.0,516.0,623.0
22033001000,950.0,352.0,434.0,929.0,403.0,499.0
22033001102,786.0,496.0,480.0,700.0,256.0,705.0
