tract,0-18,19-25,26-34,35-54,55-64,65+
05131000600,1208.0,448.0,460.0,1249.0,673.0,1063.0
05131000700,1624.0,1332.0,828.0,1460.0,538.0,539.0
05131000800,1139.0,422.0,601.0,1209.0,417.0,362.0
05131001001,1116.0,496.0,709.0,1368.0,500.0,522.0
05131001002,463.0,137.0,178.0,590.0,323.0,344.0
05131001101,691.0,553.0,453.0,996.0,539.0,837.0
05131001102,789.0,377.0,420.0,835.0,338.0,336.0
05131001201,822.0,302.0,351.0,958.0,372.0,657.0
05131001202,806.0,398.0,420.0,913.0,332.0,413.0
05131001301,561.0,142.0,177.0,664.0,393.0,608.0
05131001302,2113.0,814.0,1032.0,2610.0,1126.0,1103.0
05131001303,1699.0,704.0,920.0,1859.0,667.0,805.0
05131001304,1941.0,515.0,730.0,2164.0,992.0,1041.0
05131001305,998.0,422.0,391.0,1375.0,750.0,818.0
05131010101,1641.0,470.0,628.0,1861.0,752.0,832.0
05131010102,1847.0,447.0,725.0,1936.0,735.0,724.0
05131010201,1260.0,311.0,471.0,1528.0,595.0,751.0
05131010202,1185.0,363.0,475.0,1131.0,331.0,418.0
05131010301,1459.0,401.0,552.0,1903.0,913.0,923.0
05131010302,1800.0,452.0,597.0,2151.0,935.0,1029.0
05133080100,1056.0,297.0,404.0,1012.0,501.0,536.0
05133080200,1321.0,333.0,423.0,1245.0,466.0,537.0
05133080300,2320.0,666.0,852.0,1560.0,486.0,650.0
05133080400,629.0,206.0,280.0,707.0,337.0,424.0
05135470100,382.0,93.0,131.0,494.0,313.0,447.0
05135470200,1102.0,326.0,392.0,1192.0,853.0,1694.0
05135470300,845.0,225.0,310.0,1055.0,609.0,908.0
05135470400,1602.0,386.0,558.0,1614.0,816.0,1085.0
05137950100,942.0,259.0,340.0,1103.0,655.0,745.0
05137950201,370.0,83.0,143.0,477.0,273.0,330.0
05137950202,1380.0,386.0,592.0,1664.0,1025.0,1751.0
05139950100,780.0,282.0,313.0,1016.0,568.0,601.0
05139950200,980.0,295.0,416.0,1281.0,669.0,647.0
05139950300,626.0,188.0,270.0,690.0,291.0,432.0
05139950400,1449.0,342.0,583.0,1718.0,834.0,904.0
05139950500,1544.0,481.0,611.0,1945.0,866.0,880.0
05139950600,987.0,319.0,422.0,1027.0,441.0,601.0
05139950700,1222.0,373.0,648.0,1241.0,580.0,832.0
05139950800,872.0,248.0,398.0,975.0,474.0,564.0
05139950900,799.0,266.0,276.0,696.0,262.0,329.0
05139951000,1297.0,429.0,539.0,1250.0,552.0,691.0
05141460100,854.0,223.0,306.0,1006.0,562.0,634.0
05141460200,838.0,291.0,346.0,1092.0,532.0,810.0
05141460301,304.0,79.0,130.0,395.0,252.0,666.0
05141460302,739.0,203.0,314.0,1001.0,574.0,1091.0
05141460400,995.0,323.0,393.0,1185.0,584.0,722.0
05143010101,1007.0,287.0,417.0,1287.0,556.0,495.0
05143010102,2245.0,455.0,655.0,2563.0,943.0,894.0
05143010104,1224.0,771.0,804.0,1626.0,809.0,649.0
05143010105,2156.0,556.0,812.0,2537.0,1093.0,1009.0
05143010106,1153.0,605.0,788.0,1319.0,562.0,1094.0
05143010107,1305.0,538.0,770.0,1638.0,743.0,665.0
05143010200,2520.0,763.0,1136.0,1642.0,388.0,485.0
05143010301,3279.0,1062.0,1550.0,2413.0,661.0,677.0
05143010302,5254.0,1591.0,2294.0,3260.0,683.0,709.0
05143010401,1932.0,545.0,855.0,1516.0,510.0,568.0
05143010402,1366.0,376.0,614.0,1091.0,417.0,693.0
05143010403,2296.0,886.0,1267.0,1880.0,636.0,681.0
05143010501,1317.0,300.0,424.0,1573.0,680.0,535.0
05143010503,1924.0,902.0,1080.0,2231.0,818.0,824.0
05143010504,2102.0,490.0,774.0,2043.0,891.0,879.0
05143010506,2464.0,1635.0,1430.0,2487.0,853.0,723.0
05143010507,1471.0,1405.0,1489.0,1407.0,361.0,351.0
05143010508,1709.0,622.0,1032.0,1760.0,663.0,467.0
05143010509,2242.0,446.0,846.0,2041.0,587.0,731.0
05143010510,1431.0,385.0,576.0,1339.0,467.0,560.0
05143010600,1090.0,2368.0,1057.0,1248.0,422.0,380.0
05143010701,799.0,3245.0,1413.0,914.0,206.0,108.0
05143010702,824.0,1283.0,824.0,1099.0,405.0,512.0
05143011001,2299.0,605.0,987.0,2311.0,856.0,1027.0
05143011002,1337.0,298.0,511.0,1371.0,535.0,668.0
05143011003,1389.0,335.0,570.0,1505.0,647.0,551.0
05143011004,954.0,199.0,351.0,1109.0,635.0,603.0
05143011101,1124.0,2107.0,966.0,1407.0,504.0,540.0
05143011102,1886.0,562.0,982.0,1802.0,700.0,625.0
05143011103,1034.0,249.0,394.0,1252.0,585.0,559.0
05143011200,649.0,177.0,252.0,517.0,147.0,147.0
05143011300,1219.0,4468.0,752.0,645.0,262.0,232.0
05145070100,1167.0,345.0,437.0,1336.0,623.0,700.0
05145070200,1327.0,372.0,557.0,1561.0,634.0,706.0
05145070300,1409.0,397.0,528.0,1671.0,636.0,702.0
05145070401,1577.0,550.0,743.0,1611.0,553.0,724.0
05145070402,1093.0,576.0,606.0,1017.0,401.0,519.0
05145070500,1676.0,466.0,681.0,1818.0,778.0,960.0
05145070600,1141.0,315.0,465.0,1186.0,521.0,622.0
05145070700,850.0,506.0,435.0,933.0,388.0,974.0
05145070800,1132.0,3330.0,502.0,712.0,243.0,482.0
05145070900,2135.0,634.0,835.0,2333.0,1041.0,1360.0
05145071000,1796.0,440.0,620.0,2286.0,987.0,967.0
05145071100,1726.0,561.0,733.0,1820.0,758.0,1025.0
05145071200,2789.0,996.0,1183.0,2649.0,944.0,1107.0
05147490100,1111.0,281.0,431.0,1246.0,643.0,831.0
05147490200,656.0,213.0,239.0,763.0,475.0,462.0
05149952301,876.0,324.0,405.0,780.0,312.0,467.0
05149952302,832.0,237.0,356.0,787.0,298.0,464.0
05149952401,912.0,229.0,338.0,889.0,350.0,498.0
05149952402,1476.0,445.0,484.0,1668.0,730.0,771.0
05149952500,1473.0,418.0,508.0,1277.0,507.0,691.0
05149952600,572.0,166.0,254.0,735.0,399.0,526.0
