census_tract,zero_to_eighteen,nineteen_to_twenty_five,twenty_six_to_thirty_four,thirty_five_to_fifty_four,fifty_five_to_sixty_four,sixty_five_plus
01015002400,1126.0,397.0,469.0,1393.0,614.0,586.0
01015002501,1881.0,538.0,747.0,2196.0,905.0,888.0
01015002502,1155.0,339.0,456.0,1470.0,694.0,608.0
01015002600,1134.0,320.0,469.0,1490.0,687.0,570.0
01015981901,0.0,0.0,0.0,1.0,2.0,3.0
01015981902,2.0,0.0,0.0,1.0,2.0,0.0
01015981903,0.0,0.0,0.0,0.0,0.0,0.0
01017953800,774.0,233.0,307.0,1066.0,579.0,686.0
01017953900,728.0,221.0,250.0,775.0,451.0,505.0
01017954000,1423.0,559.0,645.0,1979.0,985.0,1153.0
01017954200,832.0,223.0,332.0,978.0,462.0,478.0
01017954300,1148.0,379.0,532.0,1440.0,631.0,637.0
01017954400,183.0,90.0,79.0,271.0,161.0,217.0
01017954500,893.0,327.0,387.0,1034.0,522.0,686.0
01017954600,818.0,260.0,339.0,923.0,385.0,731.0
01017954700,1345.0,395.0,557.0,1425.0,593.0,613.0
01019955701,723.0,229.0,275.0,916.0,567.0,642.0
01019955702,873.0,288.0,319.0,1169.0,588.0,673.0
01019955800,1328.0,398.0,565.0,1690.0,829.0,821.0
01019955900,1043.0,274.0,387.0,1311.0,607.0,652.0
01019956000,762.0,245.0,320.0,1038.0,626.0,1061.0
01019956100,1177.0,336.0,473.0,1545.0,706.0,802.0
01021060101,1338.0,487.0,666.0,1504.0,567.0,728.0
01021060102,1604.0,514.0,757.0,1640.0,804.0,1080.0
01021060200,698.0,208.0,278.0,851.0,364.0,428.0
01021060300,952.0,291.0,473.0,1127.0,496.0,519.0
01021060401,1498.0,450.0,637.0,1648.0,629.0,690.0
01021060402,2402.0,747.0,1083.0,2551.0,1071.0,1032.0
01021060500,745.0,239.0,305.0,857.0,383.0,416.0
01021060600,879.0,272.0,361.0,1020.0,378.0,388.0
01021060700,1400.0,425.0,612.0,1479.0,602.0,640.0
01023956700,731.0,227.0,272.0,968.0,492.0,520.0
01023956800,978.0,308.0,397.0,1211.0,633.0,934.0
01023956900,993.0,251.0,381.0,1105.0,537.0,674.0
01023957000,629.0,137.0,230.0,718.0,301.0,391.0
01025957500,418.0,104.0,181.0,529.0,246.0,308.0
01025957601,257.0,81.0,83.0,288.0,114.0,180.0
01025957602,1512.0,434.0,519.0,1530.0,704.0,881.0
01025957700,307.0,79.0,124.0,373.0,193.0,269.0
01025957800,1395.0,408.0,603.0,1613.0,658.0,877.0
01025957901,892.0,201.0,368.0,1027.0,451.0,585.0
01025957902,1141.0,294.0,450.0,1194.0,508.0,694.0
01025958001,355.0,75.0,140.0,395.0,160.0,173.0
01025958002,526.0,133.0,169.0,520.0,202.0,207.0
01027958900,1307.0,406.0,501.0,1457.0,733.0,961.0
01027959000,730.0,264.0,327.0,952.0,362.0,618.0
01027959100,688.0,221.0,275.0,898.0,383.0,481.0
01027959200,597.0,162.0,235.0,777.0,342.0,389.0
01029959500,695.0,190.0,263.0,796.0,397.0,372.0
01029959600,1035.0,312.0,431.0,1188.0,578.0,712.0
01029959700,823.0,270.0,293.0,1031.0,473.0,556.0
01029959800,1207.0,351.0,479.0,1363.0,603.0,721.0
01031010100,560.0,135.0,211.0,606.0,276.0,305.0
01031010200,429.0,105.0,180.0,527.0,290.0,332.0
